name,ticker,figi,lot,currency,class_code
International Flavors & Fragrances,IFF,BBG000BLSL58,1,usd,SPBXM
SAP SE,SAP@DE,BBG000BG7GX2,1,eur,SPBDE
Virgin Galactic Holdings Inc Class A,SPCE,BBG00HTN2CQ3,1,usd,SPBXM
Health Catalyst,HCAT,BBG00LDPZMS6,1,usd,SPBXM
MSA Safety,MSA,BBG000BPDXF8,1,usd,SPBXM
Coterra Energy,CTRA,BBG000C3GN47,1,usd,SPBXM
Clearway Energy,CWEN,BBG008LJ4TF3,1,usd,SPBXM
Blueprint Medicines Corp,BPMC,BBG001MC8YF7,1,usd,SPBXM
TopBuild Corp,BLD,BBG0077VS2C0,1,usd,SPBXM
Prudential Financial,PRU,BBG000HCJMF9,1,usd,SPBXM
HEICO,HEI,BBG000BL16Q7,1,usd,SPBXM
Ленэнерго - акции привилегированные,LSNGP,BBG000NLCCM3,10,rub,TQBR
Virtus Investment Partners,VRTS,BBG000DMFQS2,1,usd,SPBXM
Lumentum Holdings Inc,LITE,BBG0073F9RT7,1,usd,SPBXM
National Vision Holdings Inc,EYE,BBG00HVQF9K2,1,usd,SPBXM
Norfolk Southern,NSC,BBG000BQ5DS5,1,usd,SPBXM
Pure Storage Inc,PSTG,BBG00212PVZ5,1,usd,SPBXM
Kroger,KR,BBG000BMY992,1,usd,SPBXM
DigitalOcean Holdings,DOCN,BBG00ZGF6SS3,1,usd,SPBXM
United Rentals,URI,BBG000BXMFC3,1,usd,SPBXM
Emerson Electric,EMR,BBG000BHX7N2,1,usd,SPBXM
Kimco Realty REIT,KIM,BBG000CN3S73,1,usd,SPBXM
Monro,MNRO,BBG000C0BZD1,1,usd,SPBXM
Transocean,RIG,BBG000BH5LT6,1,usd,SPBXM
Amedisys Inc,AMED,BBG000B9ZV28,1,usd,SPBXM
"IAA, Inc.",IAA,BBG00K7ZQ662,1,usd,SPBXM
Nektar Therapeutics,NKTR,BBG000BHCYJ1,1,usd,SPBXM
Constellation Energy,CEG,BBG014KFRNP7,1,usd,SPBXM
Tenable Holdings Inc,TENB,BBG00LBLCD02,1,usd,SPBXM
REGENXBIO Inc,RGNX,BBG007Z9V591,1,usd,SPBXM
Fifth Third Bancorp,FITB,BBG000BJL3N0,1,usd,SPBXM
Open Lending Corp,LPRO,BBG00VDHLSQ6,1,usd,SPBXM
Baidu,BIDU,BBG000QXWHD1,1,usd,SPBXM
Clarivate,CLVT,BBG00P1919G5,1,usd,SPBXM
EOG Resources,EOG,BBG000BZ9223,1,usd,SPBXM
CSX Corp,CSX,BBG000BGJRC8,1,usd,SPBXM
CubeSmart REIT,CUBE,BBG000HF28Q9,1,usd,SPBXM
Stryker,SYK,BBG000DN7P92,1,usd,SPBXM
GoPro,GPRO,BBG001LWHLJ8,1,usd,SPBXM
Xerox,XRX,BBG00NNG2ZJ8,1,usd,SPBXM
Stoneridge Inc,SRI,BBG000BB9Q78,1,usd,SPBXM
Норильский никель,GMKN,BBG004731489,1,rub,TQBR
Lancaster Colony,LANC,BBG000BN1M88,1,usd,SPBXM
Lordstown Motors Corp,RIDE,BBG00N6NL712,1,usd,SPBXM
Pilgrim's Pride Corp,PPC,BBG000BFLXV3,1,usd,SPBXM
eBay,EBAY,BBG000C43RR5,1,usd,SPBXM
Delta Air Lines,DAL,BBG000R7Z112,1,usd,SPBXM
"AMERISAFE, Inc.",AMSF,BBG000Q0JJQ0,1,usd,SPBXM
Duolingo,DUOL,BBG003D4V951,1,usd,SPBXM
Micron Technology,MU,BBG000C5Z1S3,1,usd,SPBXM
Shell АДР,SHEL,BBG0147BN6G2,1,usd,SPBXM
Compass Minerals International,CMP,BBG000C42WS4,1,usd,SPBXM
Bank of New York Mellon,BK,BBG000BD8PN9,1,usd,SPBXM
Pegasystems Inc,PEGA,BBG000H1RYG7,1,usd,SPBXM
Brown-Forman,BF.B,BBG000BD2NY8,1,usd,SPBXM
Arista Networks Inc,ANET,BBG000N2HDY5,1,usd,SPBXM
LGI Homes Inc,LGIH,BBG0056655S1,1,usd,SPBXM
PTC Therapeutics,PTCT,BBG000QT15P7,1,usd,SPBXM
BJ's Restaurants Inc,BJRI,BBG000H9LNX1,1,usd,SPBXM
PG&E,PCG,BBG000BQWPC5,1,usd,SPBXM
Московская Биржа,MOEX,BBG004730JJ5,10,rub,TQBR
Amcor,AMCR,BBG00LNJRQ09,1,usd,SPBXM
Matterport,MTTR,BBG00XS0FV56,1,usd,SPBXM
Kadant Inc.,KAI,BBG000BKRSZ3,1,usd,SPBXM
Bloom Energy,BE,BBG000N7KBZ3,1,usd,SPBXM
Canadian Natural Resources,CNQ,BBG000HW5GX3,1,usd,SPBXM
Target,TGT,BBG000H8TVT2,1,usd,SPBXM
Pan American Silver Corp,PAAS,BBG000C0RGY3,1,usd,SPBXM
Bank of America Corp,BAC,BBG000BCTLF6,1,usd,SPBXM
Aspira Womens Health,AWH,BBG000BTYP37,1,usd,SPBXM
LendingTree Inc,TREE,BBG000TVRB50,1,usd,SPBXM
Visa,V,BBG000PSKYX7,1,usd,SPBXM
Entergy Corporation,ETR,BBG000C1FQS9,1,usd,SPBXM
